Starting load generator
Total rows inserted: 5000
Total rows inserted: 10000
Total rows inserted: 15000
Total rows inserted: 20000
Total rows inserted: 25000
Total rows inserted: 30000
Total rows inserted: 35000
Total rows inserted: 40000
Total rows inserted: 45000
Total rows inserted: 50000
Total rows inserted: 55000
Total rows inserted: 60000
Total rows inserted: 65000
Total rows inserted: 70000
Received interrupt signal. Exiting...
Total rows inserted: 75000
Total rows inserted: 80000
Total rows inserted: 85000
Total rows inserted: 90000
Total rows inserted: 95000
Total rows inserted: 98500
